dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.091965,2.414661,0.062500,0.250000,0.500000,1.000000,6.266240
0.500000,0.376192,2.399780,0.347116,0.569231,0.638463,0.276925,6.196894
0.500000,0.857831,2.333138,0.833344,0.972457,0.806451,0.335977,6.099048
0.500000,1.381934,2.213300,1.370973,1.075258,0.205603,-1.201696,6.023534
0.500000,1.881336,2.068408,1.890969,1.039992,-0.070533,-0.552271,5.983472
0.500000,2.361696,1.916591,2.394749,1.007560,-0.064864,0.011336,5.975909
0.500000,2.828048,1.773407,2.882587,0.975676,-0.063768,0.002193,6.000209
0.500000,3.283448,1.653695,3.353459,0.941744,-0.067862,-0.008189,6.058332
0.500000,3.728166,1.572446,3.805538,0.904159,-0.075172,-0.014619,6.153830
0.500000,4.159593,1.544056,4.237898,0.864720,-0.078877,-0.007410,0.005269
0.500000,4.573981,1.579923,4.653834,0.831873,-0.065694,0.026365,0.172422
0.500000,4.969231,1.686143,5.063109,0.818549,-0.026649,0.078092,0.352755
0.500000,5.344676,1.862669,5.477983,0.829748,0.022400,0.098097,0.522012
0.500000,5.695932,2.100832,5.902368,0.848769,0.038041,0.031283,0.663971
0.500000,5.933076,2.347155,6.244292,0.683848,-0.329842,-0.735766,0.977024
0.500000,6.051713,2.629025,6.550111,0.611638,-0.144420,0.370844,1.361465
0.500000,6.071790,2.993121,6.914760,0.729299,0.235321,0.759482,1.629979
0.500000,6.016140,3.438030,7.363136,0.896751,0.334905,0.199168,1.732832
0.500000,5.936221,3.949936,7.881243,1.036214,0.278926,-0.111958,1.696547
0.500000,5.910280,4.542407,8.474281,1.186076,0.299724,0.041596,1.508698
0.500000,6.041295,5.151790,9.097589,1.246616,0.121081,-0.357286,1.234140
0.500000,6.241048,5.655864,9.639800,1.084421,-0.324391,-0.890943,1.149401
0.500000,6.494996,6.149889,10.195273,1.110946,0.053051,0.754884,1.037876
0.500000,6.820306,6.621700,10.768362,1.146179,0.070466,0.034829,0.890660
0.500000,7.233635,7.046890,11.361345,1.185965,0.079571,0.018211,0.702945
0.500000,7.736227,7.387534,11.968500,1.214310,0.056691,-0.045760,0.486242
0.500000,8.298686,7.611049,12.573742,1.210484,-0.007652,-0.128686,0.273459
0.500000,8.876453,7.717364,13.161209,1.174935,-0.071099,-0.126894,0.096992
0.500000,9.440559,7.733650,13.725550,1.128682,-0.092506,-0.042814,6.250706
0.500000,9.982457,7.690679,14.269149,1.087198,-0.082968,0.019075,6.163160
0.500000,10.503531,7.612251,14.796093,1.053887,-0.066621,0.032694,6.109145
0.500000,11.007735,7.515556,15.309484,1.026784,-0.054207,0.024830,6.082331
0.500000,11.498763,7.413854,15.810934,1.002900,-0.047768,0.012877,6.079431
0.500000,11.979099,7.318737,16.300597,0.979326,-0.047149,0.001239,6.100088
0.500000,12.409277,7.247390,16.736652,0.872109,-0.214432,-0.334567,6.141660
0.500000,12.694094,7.212617,17.023584,0.573864,-0.596492,-0.764119,6.183986
0.500000,12.804193,7.202757,17.134124,0.221080,-0.705567,-0.218150,6.204135
0.500000,12.821794,7.201393,17.151777,0.035306,-0.371548,0.668037,6.207572
0.500000,12.821794,7.201393,17.151777,0.000000,-0.070612,0.601873,6.207572
