dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,0.083493,1.914733,0.062500,0.250000,0.500000,1.000000,6.266240
0.500000,0.333099,1.901641,0.312500,0.750000,1.000000,1.000000,6.196894
0.500000,0.766282,1.841591,0.750000,1.000000,0.500000,-1.000000,6.099048
0.500000,1.253562,1.730060,1.250000,1.000000,0.000000,-1.000000,6.023534
0.500000,1.733713,1.590698,1.750000,1.000000,0.000000,0.000000,5.983472
0.500000,2.210464,1.440010,2.250000,1.000000,0.000000,0.000000,5.975909
0.500000,2.688440,1.293293,2.750000,1.000000,0.000000,0.000000,6.000209
0.500000,3.171967,1.166282,3.250000,1.000000,0.000000,0.000000,6.058332
0.500000,3.663669,1.076623,3.750000,1.000000,0.000000,0.000000,6.153830
0.500000,4.162228,1.044063,4.250000,1.000000,0.000000,0.000000,0.005269
0.500000,4.659765,1.087337,4.750000,1.000000,0.000000,0.000000,0.172422
0.500000,5.141973,1.216930,5.250000,1.000000,0.000000,0.000000,0.352755
0.500000,5.593988,1.429260,5.750000,1.000000,0.000000,0.000000,0.522012
0.500000,6.004056,1.707057,6.250000,1.000000,0.000000,0.000000,0.663971
0.500000,6.347493,2.067409,6.750000,1.000000,0.000000,0.000000,0.977024
0.500000,6.540798,2.525122,7.250000,1.000000,0.000000,0.000000,1.361465
0.500000,6.570915,3.022695,7.750000,1.000000,0.000000,0.000000,1.629979
0.500000,6.509590,3.518694,8.250000,1.000000,0.000000,0.000000,1.732832
0.500000,6.432273,4.012646,8.750000,1.000000,0.000000,0.000000,1.696547
0.500000,6.409317,4.511378,9.250000,1.000000,0.000000,0.000000,1.508698
0.500000,6.513228,4.986624,9.750000,1.000000,0.000000,0.000000,1.234140
0.500000,6.697307,5.451347,10.250000,1.000000,0.000000,0.000000,1.149401
0.500000,6.925659,5.895864,10.750000,1.000000,0.000000,0.000000,1.037876
0.500000,7.209049,6.307250,11.250000,1.000000,0.000000,0.000000,0.890660
0.500000,7.556869,6.665419,11.750000,1.000000,0.000000,0.000000,0.702945
0.500000,7.969881,6.945487,12.250000,1.000000,0.000000,0.000000,0.486242
0.500000,8.433717,7.129628,12.750000,1.000000,0.000000,0.000000,0.273459
0.500000,8.924873,7.219714,13.250000,1.000000,0.000000,0.000000,0.096992
0.500000,9.424322,7.233914,13.750000,1.000000,0.000000,0.000000,6.250706
0.500000,9.922588,7.194276,14.250000,1.000000,0.000000,0.000000,6.163160
0.500000,10.416950,7.119804,14.750000,1.000000,0.000000,0.000000,6.109145
0.500000,10.907981,7.025608,15.250000,1.000000,0.000000,0.000000,6.082331
0.500000,11.397589,6.924197,15.750000,1.000000,0.000000,0.000000,6.079431
0.500000,11.888060,6.827095,16.250000,1.000000,0.000000,0.000000,6.100088
0.500000,12.338750,6.752389,16.706872,0.827488,-0.345024,-0.690047,6.141660
0.500000,12.644575,6.715075,17.014988,0.404976,-0.845024,-1.000000,6.183986
0.500000,12.764709,6.704319,17.135604,0.077488,-0.654976,0.380094,6.204135
0.500000,12.784023,6.702822,17.154976,0.000000,-0.154976,1.000000,6.207572
0.500000,12.784023,6.702822,17.154976,0.000000,0.000000,0.309953,6.207572
